backend,sequences,sites,patterns,mean_us,median_us,stdev_us,likelihood,abs_diff,speedup
CPU,32,10000,10000,417.5669,317.146,192.7092812897477,-773588.8692211813,,
Metal,32,10000,10000,901.5002000000001,820.146,237.7066926715452,-773588.8648093939,0.004411787376739085,0.46319113406741336
CPU,64,20000,20000,1919.9376,1370.271,1224.7823545289089,-2976630.0176093266,,
Metal,64,20000,20000,2261.4710999999998,2049.8125,527.4751606635035,-2976630.0079523325,0.009656994137912989,0.8489772873949175
CPU,128,50000,50000,8917.9874,8648.0,827.6052894083696,-15805930.167009125,,
Metal,128,50000,50000,8494.35,8277.8755,682.5952076678469,-15805930.134409785,0.03259933926165104,1.0498728448910157
CPU,128,100000,100000,16659.345699999998,16324.8755,1172.4898802328548,-31604564.661064677,,
Metal,128,100000,100000,15416.633100000001,15326.7915,1050.0456440540995,-31604564.595550418,0.06551425904035568,1.0806085603736653
CPU,256,100000,100000,41884.8375,31787.854,31177.810467470106,-61721629.72646722,,
Metal,256,100000,100000,33096.3125,33175.7915,1307.457714797117,-61721629.75355518,0.02708795666694641,1.2655439333309413
